utc_time,network,seconds_on_screen,program,text
2021-09-11 05:08:00,FOXNEWSW,28,FOXNEWSW_20210911_050000_Tucker_Carlson_Tonight/start/480,NYT BIDEN DRONED THE WRONG GUY
2021-09-11 05:26:00,FOXNEWSW,20,FOXNEWSW_20210911_050000_Tucker_Carlson_Tonight/start/1560,KEITH ROSE FMR MEMBER OF INTEL COMMUNITY
2021-09-11 05:27:00,FOXNEWSW,35,FOXNEWSW_20210911_050000_Tucker_Carlson_Tonight/start/1620,KEITH ROSE FMR MEMBER OF INTEL COMMUNITY. WHY WERENT BIOMETRIC MACHINES DESTROYED
2021-09-11 05:29:00,FOXNEWSW,11,FOXNEWSW_20210911_050000_Tucker_Carlson_Tonight/start/1740,FORMER INTEL COMMUNITY MEMBER WE 1EET IETHAI AIDTO A TERRORIST ORGANIZATION
2021-09-11 05:29:00,FOXNEWSW,11,FOXNEWSW_20210911_050000_Tucker_Carlson_Tonight/start/1740,KEITH ROSE FMR MEMBER OF INTEL COMMUNITY
2021-09-11 05:42:00,FOXNEWSW,8,FOXNEWSW_20210911_050000_Tucker_Carlson_Tonight/start/2520,CHECK YOUR LOCAL LISTINGS
2021-09-11 05:59:00,FOXNEWSW,29,FOXNEWSW_20210911_050000_Tucker_Carlson_Tonight/start/3540,US LEFT BEHIND BILLIONS IN MILITARY EQUIPMENT
2021-09-14 00:23:00,FOXNEWSW,22,FOXNEWSW_20210914_000000_Tucker_Carlson_Tonight/start/1380,LARRY ELDER COULD BE CALIFORNIAS NEXT GOVERNOR
2021-09-14 00:25:00,FOXNEWSW,17,FOXNEWSW_20210914_000000_Tucker_Carlson_Tonight/start/1500,LARRY ELDER R RUNNING FOR CALIFORNIA GOVERNOR
2021-09-14 00:25:00,FOXNEWSW,17,FOXNEWSW_20210914_000000_Tucker_Carlson_Tonight/start/1500,NEWSOM RECALL ELECTION IS TOMORROW
2021-09-14 00:26:00,FOXNEWSW,40,FOXNEWSW_20210914_000000_Tucker_Carlson_Tonight/start/1560,LARRY ELDER R RUNNING FOR CALIFORNIA GOVERNOR
