"word","BBC","CNN","FOX","MSNBC"
"natasha","4","23","0","0"
"lindstaedt","0","6","0","0"
"professor","20","229","57","108"
"university","41","173","51","111"
"essex","2","8","0","0"
"authorities","32","58","14","14"
"X3oo","17","44","11","35"
"X..6","11","500","236","308"
"patients","17","194","66","227"
"treated","8","27","2","4"
"field","11","25","18","12"
"hospital","49","195","44","131"
"venue","1","1","0","0"
"ethiopian","5","12","0","0"
"military","90","218","150","55"
"veterans","1","7","65","32"
"rejoin","0","5","0","0"
"army","47","41","78","13"
"formed","9","6","0","0"
"anti.government","0","2","0","0"
"friday","39","67","21","49"
"calling","12","45","35","36"
"members","16","157","67","173"
"voluntarily","0","8","0","8"
"gedion","0","2","0","0"
"timothewos","0","2","0","0"
"ethiopia","1","14","0","0"
"general","200","526","188","283"
"group","98","122","49","94"
"savs","0","1","0","0"
"fight","31","241","144","349"
"genocidal","0","1","0","0"
"regime","3","12","9","3"
"back","262","541","319","611"
"vaccine","335","2066","689","1399"
"mandate","14","540","476","491"
"intreducingdermageeks","0","6","0","0"
"brian","4","555","277","62"
"kemp","0","5","4","1"
"half","33","130","11","33"
"states","12","250","72","312"
"suing","2","23","16","33"
"rules","112","178","95","97"
"make","51","153","80","190"
"booster","120","675","149","400"
"shots","13","343","81","180"
"entire","7","29","4","11"
"populations","3","2","0","0"
"v","42","44","146","157"
"credliassociong","0","3","0","0"
"free","20","49","146","120"
"informati","0","5","0","0"
"specific","0","34","2","5"
"negotiation","0","13","3","10"
"guaranteed","0","29","2","5"
"X13","13","70","49","55"
"joined","0","6","0","0"
"democrats","64","1985","1222","2254"
"six","64","106","23","41"
"voted","5","74","4","52"
"doj","0","294","272","655"
"refuses","16","57","46","132"
"answer","4","48","29","24"
"panels","1","6","0","4"
"questions","98","145","167","105"
"answers","0","60","104","4"
"committees","0","27","0","18"
"deposition","0","24","0","22"
"powell","0","174","15","198"
"oath","0","16","4","27"
"discussing","0","12","4","30"
"debunked","0","6","17","0"
"rvan","0","51","0","0"
"nobles","0","41","0","0"
"bulletin","0","9","1","9"
"reveals","2","163","52","82"
"potential","6","225","37","86"
"plot","0","58","7","43"
"energy","117","54","50","56"
"zoldi","0","3","0","0"
"hasnt","1","12","4","10"
"invested","0","1","0","0"
"detect","10","2","2","2"
"drones","0","3","12","0"
"dawn","3","2","0","0"
"air","34","107","72","36"
"force","21","150","76","66"
"veteran","0","36","74","17"
"founder","11","69","73","64"
"ceo","12","86","97","108"
"p3","0","1","0","0"
"tech","14","17","69","34"
"consulting","2","4","0","4"
"tracked","0","5","2","1"
"fatally","0","9","15","1"
"linda","0","11","0","1"
"dunikoski","0","6","0","0"
"judae","0","6","0","0"
"timothy","0","8","0","3"
"walmsley","0","6","0","2"
"wanda","0","13","0","2"
"cooper.djones","0","3","0","0"
"robert","79","129","38","86"
"rubin","0","6","16","8"
"travis","0","13","60","15"
"mcmichael.s","0","2","0","0"
