utc_time,network,seconds_on_screen,program,text
2021-09-10 04:10:00,CNNW,29,CNNW_20210910_040000_Anderson_Cooper_360/start/600,BIDEN TARGETS UNVACCINATED WITH NEW RULES OUR PATIENCE IS WEARING THIN
2021-09-14 00:21:00,CNNW,27,CNNW_20210914_000000_Anderson_Cooper_360/start/1260,DEMS GIVE FINAL PUSH TO KEEP NEWSOM IN OFFICE ONE DAY BEFORE
2021-09-11 04:42:00,CNNW,17,CNNW_20210911_040000_Anderson_Cooper_360/start/2520,BIDEN TO CAMPAIGN FOR GOV NEWSOM MONDAY IN LONG
2021-09-11 00:06:00,CNNW,39,CNNW_20210911_000000_Anderson_Cooper_360/start/360,BIDEN TO GOP GOVERNORS THREATENING TO SUE OVER NEW VACCINE RULES HAVE AT IT
2021-09-11 04:08:00,CNNW,54,CNNW_20210911_040000_Anderson_Cooper_360/start/480,BIDEN TO GOP GOVERNORS THREATENING TO SUE OVER NEW VACCINE RULES HAVE AT IT
2021-09-11 00:13:00,CNNW,34,CNNW_20210911_000000_Anderson_Cooper_360/start/780,BIDEN TO GOP GOVERNORS THREATENING TO SUE OVER NEW VACCINE RULES HAVE AT IT
2021-09-11 04:13:00,CNNW,34,CNNW_20210911_040000_Anderson_Cooper_360/start/780,BIDEN TO GOP GOVERNORS THREATENING TO SUE OVER NEW VACCINE RULES HAVE AT IT
2021-09-10 00:12:00,CNNW,29,CNNW_20210910_000000_Anderson_Cooper_360/start/720,BIDEN TO THE UNVACCINATED YOUR REFUSAL HAS COST ALL OF
2021-09-10 04:13:00,CNNW,28,CNNW_20210910_040000_Anderson_Cooper_360/start/780,BIDEN TO THE UNVACCINATED YOUR REFUSAL HAS COST ALL OF US
2021-09-10 00:09:00,CNNW,21,CNNW_20210910_000000_Anderson_Cooper_360/start/540,BIDEN TO THE UNVACCINATED YOUR REFUSAL HAS COST ALL OF US
2021-09-09 00:35:00,CNNW,51,CNNW_20210909_000000_Anderson_Cooper_360/start/2100,BIDEN TO UNVEIL SIXPRONGED PLAN TO FIGHT COVID IN SPEECH TOMORROW
